,Ciampino,Bologna,Trieste,Verona,Firenze,Napoli,Catania,Olbia,Genova,Cagliari
Ciampino,0.0,23223.292948460712,13036.596605475987,19515.140761990377,21000.169574086,22846.3283569085,13140.871106953216,5911.430367331148,12923.780352069685,6800.790285854408
Bologna,23223.292948460712,0.0,15167.006807471193,25706.345895185837,26259.005578290347,19884.314550809246,12508.803691312414,5666.5375546137275,15283.087116365821,6557.70354668668
Trieste,13036.596605475987,15167.006807471193,0.0,13522.384247692338,12596.78698604545,11522.1220099237,7312.311939738541,3153.358790806554,8022.794811823052,3718.755204727515
Verona,19515.140761990377,25706.345895185837,13522.384247692338,0.0,20216.402717671466,16949.032982725756,10801.490766326953,4839.856842632379,13432.33319698317,5647.745103776437
Firenze,21000.169574086,26259.005578290347,12596.78698604545,20216.402717671466,0.0,17644.86969803988,11001.086862098617,5079.870934396107,13174.539211327203,5816.168678002068
Napoli,22846.3283569085,19884.314550809246,11522.1220099237,16949.032982725756,17644.86969803988,0.0,12667.324219985765,5073.175215275541,11142.236016616642,6059.472300868505
Catania,13140.871106953216,12508.803691312414,7312.311939738541,10801.490766326953,11001.086862098617,12667.324219985765,0.0,3278.2457216022894,7158.156665400677,4099.1521154926795
Olbia,5911.430367331148,5666.5375546137275,3153.358790806554,4839.856842632379,5079.870934396107,5073.175215275541,3278.2457216022894,0.0,3343.1921897254765,1988.951416414899
Genova,12923.780352069685,15283.087116365821,8022.794811823052,13432.33319698317,13174.539211327203,11142.236016616642,7158.156665400677,3343.1921897254765,0.0,3856.5200186629936
Cagliari,6800.790285854408,6557.70354668668,3718.755204727515,5647.745103776437,5816.168678002068,6059.472300868505,4099.1521154926795,1988.951416414899,3856.5200186629936,0.0
